Property,Unnamed: 1,text,Hinweis,translated_Property,translated_text
Objekt-ID,Wird intern vergeben, dient der eindeutigen Identifikation und Inventarisierung.,"Die Objekt-ID ist eine eindeutige interne Kennziffer, die jedem Datensatz innerhalb der Forschungsumgebung oder Datenbank zugewiesen wird.
Sie dient der Identifikation, Nachverfolgbarkeit und Inventarisierung der erfassten Werke und wird zentral vergeben.",Object ID,serves the clear identification and inventory.
Titel,,"Originaltitel oder aktueller Titel des Werkes. Hinweise auf diskriminierende Begriffe, historische Kontextualisierung (z. B. antiziganistische Begriffe im Titel). Eine besondere Aufmerksamkeit gilt der kritischen Überprüfung der Titel auf sprachliche Diskriminierungen, insbesondere auf antiziganistische, rassistische und kolonial geprägte Begriffe. Dabei ist zu berücksichtigen, dass viele Titel nicht von den ursprünglichen Urheber*innen selbst stammen, sondern durch spätere Katalogisierungen, museale Ordnungen oder Verlage geprägt wurden.
Die Rekonstruktion der Entstehungskontexte und die Kontextualisierung problematischer Begriffe sind wesentliche Schritte, um historisch gewachsene Ausgrenzungsmechanismen sichtbar zu machen und einen diskriminierungssensiblen, verantwortungsvollen Umgang mit kulturellem und wissenschaftlichem Erbe zu fördern.",,title,"Original title or current title of the work. References to discriminatory terms, historical contextualization (e.g. anti -Ziganistic terms in the title). The critical review of the titles for linguistic discrimination applies, especially for anti -Zigan, racist and colonial terms. It must be taken into account that many titles are not from the original authors themselves, but were shaped by later catalogies, museum orders or publishers.
The reconstruction of the contamination contexts and the contextualization of problematic terms are essential steps to make historically grown exclusion mechanisms visible and to promote discrimination -sensitive, responsible use of cultural and scientific legacy."
"Urheber*in / Verantwortliche Person
",,"Name der Person(en), die für die Entstehung verantwortlich sind (z. B. Künstler*in, Autor*in, Regisseur*in, Fotograf*in, Forscher*in etc.)",,Copyright / Responsible person,"Name of the person (s) who are responsible for the creation (e.g. artist, author, director, photographer, researcher, etc.)"
Sichtbare oder rekonstruierbare Personen,,"Erfassung von Personen, die sichtbar dargestellt oder beschrieben sind. Bitte soweit möglich Name, Geburtsort, Zugehörigkeit (z. B. Sinti*zze und Rom*nja) und biografische Hinweise angeben. In diesem Erfassungsfeld werden reale Personen dokumentiert, die auf Gemälden, Fotografien, Kunstwerken, Theateraufführungen oder Filmen sichtbar dargestellt oder in literarischen Werken beschrieben werden. Voraussetzung ist, dass eine Identifizierung möglich ist, etwa durch Angaben zu Name, Geburtsort, biografischen Daten oder Community-Zugehörigkeit (z. B. Sinti*zze und Rom*nja). Auch in wissenschaftlichen Beiträgen rekonstruierbare Personen sollen erfasst werden. ",,Visible or reconstructable persons,"Recording of people who are visible or described. As if possible, name, place of birth, belonging (e.g. Sinti*Zze and Rome*nja) and give biographical information. In this detection field, real people are documented on paintings, photographs, works of art, theater performances or films visible or described in literary works. The prerequisite is that identification is possible, for example through information on the name, place of birth, biographical data or community affiliation (e.g. Sinti*ZZE and ROM*NJA). People reconstructable in scientific contributions should also be recorded."
Entstehungsjahr,,Jahr oder Zeitraum der Entstehung oder Veröffentlichung,,Year of origin,Year or period of the creation or publication
Ort der Entstehung / Nutzung,,"Geografische Lage (Ort, Region)",,Place of origin / use,"Geographical location (location, region)"
Gattung / Genre ,,"Auswahl: Literatur, Film, Fotografie, Theater, wissenschaftliche Aufzeichnung usw.",,Genus / genre,"Selection: literature, film, photography, theater, scientific recording, etc."
Technik,,"Technik: Herstellungs- oder Dokumentationsverfahren (z. B. Öl auf Leinwand, Schwarzweißfotografie, 16mm-Film, Tonbandaufzeichnung).",,Technology,"Technology: Manufacturing or documentation process (e.g. oil on canvas, black and white photography, 16mm film, tape recording)."
Dimensionen:,"

",Maße (Höhe × Breite × Tiefe in cm) bei Objekten oder Laufzeit (Minuten) bei medialen Werken. Bei Texten Seitenanzahl angeben usw.,,Dimensions:,"Dimensions (height × width × depth in cm) for objects or term (minutes) for media works. In the case of texts, specify the number of pages, etc."
Kurzbeschreibung / Inhaltliche Zusammenfassung,,"Eine kurze Beschreibung (100 Wörter) des Objekts, Werks oder Datensatzes (z.B. Inhalt, Thema, Bedeutung).",,Brief description / content summary,"A brief description (100 words) of the object, work or data record (e.g. content, topic, meaning)."
