Property,text,Unnamed: 2,translated_Property,translated_text
Objekt-ID,wird von Fazleh vegeben,,Object ID,will be vegged by Fazleh
Titel,"Roma & Sinti : ""Zigeuner-Darstellungen"" der Moderne  https://d-nb.info/98583935X ",,title,"Roma & Sinti: ""Gypsy representations"" of modern https://d-nb.info/98583935x"
Künstler:in/Autor:in,Gerhard Baumgartner  ,https://d-nb.info/gnd/129420301,Artist: In/Author: In,Gerhard Baumgartner
Entstehungsjahr,X,,Year of origin,X
Ort der Entstehung/Nutzung,Krems an der Donau: Kunsthalle (Österreich),,Place of origin/use,Krems on the Danube: Kunsthalle (Austria)
Feldgattung,Literatur,,Field genre,literature
Objekttyp / Medium / Technik,Buch/Katalog zur Ausstellung ,,Object type / medium / technology,Book/catalog for the exhibition
Motivcluster,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",,Motif cluster,"In the ""Gypsy representations"" catalog, the media categorization of Roma & Sinti is shown as part of stereotypical framings. Exoticizing, romanticizing and criminalizing images are critically analyzed and shown as an expression of externally determined representations that have contributed to the social exclusion."
Narrativtyp,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",,Narrative type,"In the ""Gypsy representations"" catalog, the media categorization of Roma & Sinti is shown as part of stereotypical framings. Exoticizing, romanticizing and criminalizing images are critically analyzed and shown as an expression of externally determined representations that have contributed to the social exclusion."
Historischer Zusammenhang,"Entstehung: frühes 20. Jahrhundert, kurz vor dem Ersten Weltkrieg
Ungarn als Teil der Donaumonarchie mit starken ethnischen Spannungen
Zunehmende politische Kontrolle und Militarisierung (z. B. Haarschnitt der Rekruten ab 1914 als Disziplinierungsmaßnahme) Stigmatisierung und Marginalisierung von Roma-Gruppen im gesamten europäischen Raum Beginn einer staatlich regulierten Rassifizierung  Ermittlung der Daten…",,Historical context,"Development: early 20th century, shortly before the First World War
Hungary as part of the Danube monarchy with strong ethnic tensions
Increasing political control and militarization (e.g. haircut of recruits from 1914 as a discipline measure) Stigmatization and marginalization of Roma groups in the entire European area The beginning of a state-regulated racial Determination of data ..."
