Property,text,translated_Property,translated_text
Objekt-ID,wird von Fazleh vergeben,Object ID,is awarded by Fazleh
Titel,Ilonka,title,Ilonka
Künstler:in/Autor:in,Max Beckmann (Max Carl Friedrich Beckman)  https://d-nb.info/gnd/118508210,Artist: In/Author: In,Max Beckmann (Max Carl Friedrich Beckman) https://d-nb.info/gnd/118508210
Entstehungsjahr,1932,Year of origin,1932
Ort der Entstehung/Nutzung,"Museum Ludwig, Köln",Place of origin/use,"Museum Ludwig, Cologne"
Feldgattung,Porträtmalerei (?),Field genre,Portrait painting (?)
Objekttyp / Medium / Technik,"Öl auf Leinwand, 135 x 100 cm",Object type / medium / technology,"Oil on canvas, 135 x 100 cm"
Motivcluster,Individuelles Porträt / ursprünglich: Einbindung in stereotype Darstellungen von „Zigeunerinnen“ in der Moderne (historische Fehlzuordnung) (?),Motif cluster,"Individual portrait / originally: integration into stereotypical representations of ""gypsies"" in modernity (historical failure) (?)"
Narrativtyp,Zwischen individueller Charakterstudie und späterer rassistisch-stereotyper Überformung (durch Umbenennung zu „Zigeunerin✶✶ II“),Narrative type,"Between the individual character study and later racist stereotyper over shape (by renaming to ""Gypsy✶✶ II"")"
Historischer Zusammenhang,"Entstehung in der Zeit des Zweiten Weltkriegs, 1945 in Amsterdam gesehen

Rezeption und Kategorisierung nach dem Krieg im Kontext verbreiteter exotisierender und antiziganistischer Bildtraditionen

Rückbenennung im Zuge aktueller Provenienz- und Sensibilisierungsarbeit (gegen diskriminierende Titel)",Historical context,"Development in the time of the Second World War, seen in Amsterdam in 1945

Reception and categorization after the war in the context of widespread exotic and anti -Ziganistic image traditions

Returning in the course of current provenance and sensitization work (against discriminatory titles)"
Antiziganistische / Stigmatisierende Elemente,"
Die spätere Titelgebung „Zigeunerin✶✶ II“ reproduziert ein rassistisches Stereotyp, das Roma und Sinti als exotische, marginalisierte „Andere“ markiert.

Der ursprüngliche Charakter des Porträts wird dabei verschleiert zugunsten einer fremden Projektion.",Anti -Zigan / stigmatizing elements,"The later title ""Gypsy✶✶ II"" reproduces a racist stereotype that marks Roma and Sinti as exotic, marginalized ""others"".

The original character of the portrait is veiled in favor of a foreign projection."
Agency,"Im Bild selbst: Die dargestellte Frau wirkt aktiv, präsent und individuell (Blick und Körperhaltung zeigen Selbstbewusstsein).

Im Rezeptionskontext: Die Rückkehr zum ursprünglichen Titel Ilonka stellt Agency symbolisch wieder her und widerspricht der entmenschlichenden Stereotypisierung.",Agent,"In the picture itself: The woman shown acts actively, present and individually (look and posture show self -confidence).

In the reception context: The return to the original title Ilonka symbolically restores Agency and contradicts the stereotyping stereotyping."
Transmediale Beziehungen,"Das Werk steht im Spannungsfeld gängiger medialer Bilder von „Zigeunerinnen“ in Kunst, Literatur und Fotografie der Zeit.

Anders als stereotype Darstellungen, die Roma und Sinti passiv oder exotisch zeigen, vermittelt Ilonka eine individuellere Perspektive.

Die ursprüngliche Charakterisierung der Figur wird später durch Titeländerungen mit breiteren, antiziganistischen Bildtraditionen verknüpft.",Transmedial relationships,"The work is in the area of ​​tension between common media pictures of ""gypsies"" in art, literature and photography of the time.

Unlike stereotypical representations that show Roma and Sinti passively or exotically, Ilonka conveys a more individual perspective.

The original characterization of the figure is later linked by changes in the title with wider, anti -Rocarian image traditions."
Narrativwandel bei Medienwechsel,"Im Medium Malerei (Ilonka als individuelles Porträt) lag zunächst eine persönliche Erzählung vor.

Durch Katalogisierung, Ausstellungen und Werkverzeichnisse („Zigeunerin✶✶ II“) wurde das Narrativ verschoben: von Individualität hin zu einer stereotypen, entindividualisierenden Geschichte.

Der aktuelle mediale Diskurs (z. B. kritische Provenienzforschung, Musealisierung) strebt eine Korrektur dieser verzerrten Erzählung an.",Narrative change in media change,"In the medium of painting (Ilonka as an individual portrait), there was initially a personal story.

The narrative was postponed by cataloging, exhibitions and lists of work (""Gypsy II""): from individuality to a stereotypical, enthusiasticizing story.

The current media discourse (e.g. critical provenance research, musalization) strives to correct this distorted narrative."
Reproduktionsweg,"Entstehung:
– Ursprüngliche Anfertigung durch Max Beckmann (ca. 1944/1945).

Erste Ausstellung:
– Kurz nach Entstehung unter dem Titel „Ilonka“ ausgestellt.

Frühe Rezeption:
– Eine Zeichnung desselben Modells (heute im Art Institute of Chicago) ebenfalls als „Ilonka“ betitelt und 1955 bei Theo Hill (Köln) ausgestellt.

Umbenennung / Fremdtitulierung:
– Spätere Referenz auf das Werk als „Zigeunerin✶✶ II“ in Ausstellungen und im Werkverzeichnis Göpel 1979.
– Beckmann selbst verwendet in seinem Tagebuch 1945 den Begriff „Zigeunerin✶✶“ in Bezug auf eine Ausstellung in Amsterdam.

Kritische Revision:
– Im Rahmen aktueller Provenienzforschung und Sensibilisierung gegenüber rassistischen Bezeichnungen (Projekt Dr. Julia Friedrich) bewusste Entscheidung zur Wiederherstellung des Titels „Ilonka“.

Aktueller Status:
– Barbara Tiedemann und Siegfried Gohr führen das Werk im neuen Werkverzeichnis wieder unter dem ursprünglichen Titel „Ilonka“.",Reproduction path,"Development:
- Original production by Max Beckmann (approx. 1944/1945).

First exhibition:
- exhibited shortly after the origin under the title ""Ilonka"".

Early reception:
- A drawing of the same model (today in the Art Institute of Chicago) also called ""Ilonka"" and exhibited in 1955 with Theo Hill (Cologne).

Renaming / external title:
- Later reference to the work as ""Gypsy II"" in exhibitions and in the Göpel work list 1979.
- Beckmann himself used the term ""gypsy"" in his diary in 1945 with regard to an exhibition in Amsterdam.

Critical revision:
- In the context of current provenance research and sensitization to racist names (project Dr. Julia Friedrich), conscious decision to restore the title ""Ilonka"".

Current status:
- Barbara Tiedemann and Siegfried Gohr again lead the work in the new list of works under the original title ""Ilonka""."
Sammlung / Archiv / Fundort,"Museum Ludwig, Köln",Collection / archive / location,"Museum Ludwig, Cologne"
Provenienz,"1954-1957, Lilly von Schnitzler-Mallinckrodt, Murnau (Kreis Garmisch-Partenkirchen)
1957-1976, Wallraf-Richartz-Museum & Fondation Corboud, Köln, Inv.-Nr.: WRM 3015 (Ankauf 1957)
1954 Ankauf Lilly von Schnitzler aus dem Nachlass Beckmann. 1957 erworben aus der Sammlung Lilly von Schnitzler-Malinckrodt, Murnau.",Provenance,"1954-1957, Lilly von Schnitzler-Mallinckrodt, Murnau (Garmisch-Partenkirchen district)
1957-1976, Wallraf-Richartz-Museum & Fondation Corboud, Cologne, Inv.-No.: WRM 3015 (purchase 1957)
1954 purchase Lilly von Schnitzler from the Beckmann estate. 1957 acquired from the Lilly Collection by Schnitzler-Malinckrodt, Murnau."
Literatur,"Beckmann, Max, Winterthur 1938, Kat-Nr. 7

Beckmann, Max, Zürich 1955, Kat-Nr. 63

Beckmann, Max, Basel 1956, Kat-Nr. 53

Beckmann, Max, Den Haag 1956, mit Abbildung, Kat-Nr. 45

Beckmann, Max, Wuppertal 1956, Abbildung 9, Kat-Nr. 33

Beckmann, Max, Köln 1958, Kat-Nr. 2

Köln WRM, Gemälde des 20. Jhs., 1974, S. 25, Abbildung Nr. 30

Köln ML, Handbuch, 1979, S. 90.91-92, Farbabbildung S. 94

Beckmann, Max, Frankfurt 1983, S. 180, Abbildung 93

Köln ML, Bestandskatalog II, 1986, S. 27, Abbildung S. 27

Gallwitz (u. a.), Max Beckmann Briefe, 1994, S. 219f, S. 223f.

Beckmann, Max, Madrid 1997, S. 54.98, Farbabbildung S. 55, Kat-Nr. 15

Beckmann, Max, Bremen-Potsdam 2017-2018, S. 170f., Farbabb. S. 173

Köln ML, 20./21. Jahrhundert, 2018, S. 96 mit Abb.

Beckmann, Max, Bern 1937, Kat-Nr. 6

Westheider, Die Farbe Schwarz, 1995, S. 114, Farbtafel 7",literature,"Beckmann, Max, Winterthur 1938, Kat no. 7

Beckmann, Max, Zurich 1955, Kat no. 63

Beckmann, Max, Basel 1956, Kat no. 53

Beckmann, Max, Den Haag 1956, with illustration, Kat no. 45

Beckmann, Max, Wuppertal 1956, Figure 9, Kat no. 33

Beckmann, Max, Cologne 1958, Kat no. 2

Cologne WRM, painting of the 20th century, 1974, p. 25, Figure No. 30

Cologne ML, Handbuch, 1979, pp. 90.91-92, color illustration p. 94

Beckmann, Max, Frankfurt 1983, p. 180, Figure 93

Cologne ML, inventory catalog II, 1986, p. 27, Figure p. 27

Gallwitz (u.), Max Beckmann Letters, 1994, pp. 219f, p. 223f.

Beckmann, Max, Madrid 1997, p. 54.98, color illustration p. 55, cat no. 15

Beckmann, Max, Bremen-Potsdam 2017-2018, pp. 170f., Color Fig. P. 173

Cologne ML, 20./21. Century, 2018, p. 96 with Fig.

Beckmann, Max, Bern 1937, Kat no. 6

Westheider, The Color Schwarz, 1995, p. 114, color table 7"
Ausstellungen / Aufführungen / Veröffentlichungen,"Beckmann, Max, Berlin 1932

Beckmann, Max, Bern 1937

Beckmann, Max, Winterthur 1938

Beckmann, Max, Zürich 1955

Beckmann, Max, Basel 1956

Beckmann, Max, Den Haag 1956

Beckmann, Max, Wuppertal 1956

Beckmann, Max, Köln 1958

Beckmann, Max, Frankfurt 1983-84

Beckmann, Max, Madrid 1997

Beckmann, Max, Bremen-Potsdam 2017-2018",Exhibitions / performances / publications,"Beckmann, Max, Berlin 1932

Beckmann, Max, Bern 1937

Beckmann, Max, Winterthur 1938

Beckmann, Max, Zurich 1955

Beckmann, Max, Basel 1956

Beckmann, Max, Den Haag 1956

Beckmann, Max, Wuppertal 1956

Beckmann, Max, Cologne 1958

Beckmann, Max, Frankfurt 1983-84

Beckmann, Max, Madrid 1997

Beckmann, Max, Bremen-Potsdam 2017-2018"
Beschriftung,"Signatur, Vorderseite (links oben): Beckmann F. 32
Aufkleber, Rückseite, oben links, auf dem Rahmen: BUCHHOL GALLERY / CURT VALENTIN / 32 EAST 57th STREET, NEW YORK. / TITLE & YEAR Gypsy. 1932 / ARTIST Max Beckmann / MEDIUM & / SIZE Oil 53 1/2 X 39 3/4 "" / NO. / 11296 / Oui [handschritfliche Notiz]
Aufkleber, Rückseite, oben links, auf dem Rahmen: KUNSTHAUS ZÜRICH / Künstler: Max Beckmann / Titel: Zigeunerin, 1935 / Besitzer: L. von Schnitzler / Katalog-Nr.: G3 / Auto [handschriftliche Notiz]
Aufkleber, Rückseite, oben links, auf dem Rahmen: 63 ZIGEUNERIN, 1932 / L. von Schnitzler, Murnau
Aufkleber, Rückseite, auf dem Rahmen: Gustav Knauer, Berlin / 909 [?] / Kunst-Abteilung
Aufkleber, Rückseite, oben rechts, quer, auf dem Rahmen: 33. Zigeunerin Abb. 9 / 136 : 100 cm / Bez. Beckmann F. 32 / R.H., 342 / Lilly v. Schnitzler, Murnau
Aufkleber, Rückseite, mittig rechts, quer, auf dem Rahmen: DIENST VOOR SCHONE KUNSTEN ´S-GRA[...] / TENTOONST.: DAT.:[...] / KUNSTENAAR: MAX BECKMANN H.: 17[...] / TITEL: Zigeunerin, 1932 CAT. Nr.: 45 / INZENDER: Lilly von Schnitzler, Frank-/furt a/Main / INV. Nr
Aufkleber, Rückseite, unten links, auf dem Rahmen: WALLRAF-RICHARTZ-MUSEUM / GEMÄLDE-INVENTAR 1925 / Nr. 3015
Aufschrift, Rückseite, auf dem Rahmen: [nicht zu dechiffrieren]
Aufschrift, Rückseite, oben links, auf dem Rahmen: [...]41. [unterstrichen] /9 [...]
Aufschrift, Rückseite, oben rechts, auf dem Rahmen: [...]IGEUNERIN
Aufschrift, Rückseite, oben rechts, auf dem Rahmen: K3 4004-1
Aufschrift, Rückseite, oben rechts, auf dem Rahmen: 30",lettering,"Signature, front (top left): Beckmann F. 32
Sticker, back, top left, on the frame: Buchhol Gallery / Curt Valentin / 32 East 57th Street, New York. / Title & Year Gypsy. 1932 / Artist Max Beckmann / Medium & / Size Oil 53 1/2 x 39 3/4 "" / No. / 11296 / OUI [Hand -called note]
Sticker, back, top left, on the frame: Kunsthaus Zürich / Artist: Max Beckmann / Title: Gypsy, 1935 / owner: L. von Schnitzler / Catalog no.: G3 / Auto [handwritten note]
Sticker, back, top left, on the frame: 63 Gypsy, 1932 / L. von Schnitzler, Murnau
Sticker, back, on the frame: Gustav Knauer, Berlin / 909 [?] / Art department
Sticker, back, top right, cross, on the frame: 33. Gypsy Fig. 9/136: 100 cm / Bez. Beckmann F. 32 / R.H., 342 / Lilly v. Schnitzler, Murnau
Sticker, back, in the middle of the right, cross, on the frame: Dienst voor protruding ´s-gra [...] / Tentoonst.: Dat .: [...] / Kunstenaar: Max Beckmann H.: 17 [...] / Title: Gypsy, 1932 Cat. No.: 45 / Incender: Lilly von Schnitzler, Frank- / Furt A / Main / Inv. No.
Sticker, back, at the bottom left, on the frame: Wallraf-Richartz-Museum / Painting Inventory 1925 / No. 3015
Inscription, back, on the frame: [not too deciphered]
Inscription, back, top left, on the frame: [...] 41. [underlined] /9 [...]
Inscription, back, top right, on the frame: [...] igean
Inscription, back, top right, on the frame: K3 4004-1
Inscription, back, top right, on the frame: 30"
Rechte / Lizenzen,X,Right / licenses,X
Digitalisat-Link/Pfad,X,Digitized link/path,X
Metadaten-Status,X,Metadata status,X
Erfasst von,Andre Raatzsch,Calculated by,Andre Raatzsch
Erfassungsdatum,4/28/2025,Detection date,4/28/2025
Kommentar / Anmerkung,X,Comment / note,X
