Property,text,Unnamed: 2,Unnamed: 3,translated_Property,translated_text
Objekt-ID,wird von Fazleh vergeben,,,Object ID,is awarded by Fazleh
Titel,Zwei Zigeunerin** mit Katze*,,,title,Two gypsy ** with cat*
Künstler:in/Autor:in,Otto Müller (1874–1930) Link zu diesem Datensatz,https://d-nb.info/gnd/118737554,,Artist: In/Author: In,Otto Müller (1874–1930) Link to this data set
Entstehungsjahr,1926/27,,,Year of origin,1926/27
Ort der Entstehung/Nutzung,"Museum Ludwig, Köln",,,Place of origin/use,"Museum Ludwig, Cologne"
Feldgattung,Bildende Kunst / Malerei ,,,Field genre,Fine art / painting
Objekttyp / Medium / Technik,"Öl auf Leinwand, 144,5 x 109,5 cm",,,Object type / medium / technology,"Oil on canvas, 144.5 x 109.5 cm"
Motivcluster,"Exotisierung
Weiblichkeit / Erotik
Symbolik (Katze, Gefäße, Pflanze)
Blickregime (Objektifizierung)",,,Motif cluster,"Exoticization
Femininity / eroticism
Symbolism (cat, vessels, plant)
Blick regime (objectification)"
Narrativtyp,"Kolonial-rassifizierender Blick, verführerisch-wildes Weiblichkeitsnarrativ, „Zigeuner“-KlischeesKolonial-rassifizierender Narrativtyp mit erotisierendem Subtext; Darstellung der Romnja als Projektionsfläche männlich-westlicher Fantasien",,,Narrative type,"Colonial-racifying look, seductive-wild female narrative, ""gypsy"" cliché-colonial-racifying narrative type with erotic subtext; Representation of the Romnja as a projection surface of male-Western fantasies"
Historischer Zusammenhang,"•Gemalt nach Skizzen und Eindrücken aus Aufenthalten in Szolnok, Ungarn (Sommer 1925 und 1927), einem bekannten Ort für Künstlerkolonien mit Fokus auf ländliche und marginalisierte Lebenswelten
•Teil von Muellers Beschäftigung mit dem Leben der Roma, das später auch in seiner „Zigeunermappe“ (1927) Ausdruck fand 
•Verfemung durch NS-Regime als „entartete Kunst“
•NS-Völkermord an Sintizze und Romnja (URL) 
•Kontinuität antiziganistischer Stereotype im 20. Jahrhundert
•Ausstellungskritik und Revision 2019–2020 im Kontext postkolonialer Museumspraxis Ludwig Museum in Köln, Dr. Julia Friedrich (URL)",,,Historical context,"• painted after sketches and impressions from stays in Szolnok, Hungary (summer 1925 and 1927), a well -known place for artist colonies with a focus on rural and marginalized living environments
• Part of Mueller's occupation with the life of the Roma, which later also expressed in his ""Gypsy folder"" (1927) 
• Bracking by Nazi regime as ""degenerate art""
• Nazi population of Sintizze and Romnja (URL) 
• Continuity of anti -Ziganistic stereotypes in the 20th century
• Exhibition criticism and revision 2019–2020 in the context of postcolonial museum practice Ludwig Museum in Cologne, Dr. Julia Friedrich (URL)"
Antiziganistische / Stigmatisierende Elemente,"
•Rassistischer Werktitel (Begriff „Zigeunerinnen“)
•Darstellung als exotisch, erotisch, unzivilisiert
•Fetischisierung weiblicher Romnja-Körper
•Reproduktion kolonialer Zuschreibungen („das Andere“)",,,Anti -Zigan / stigmatizing elements,"• Racist work title (term ""gypsies"")
• Representation as exotic, erotic, uncivilized
• Fetishization of female romnja body
• Reproduction of colonial attributions (""the other"")"
Agency,Keine Agency im Bild selbst: Die dargestellten Frauen sind Objekte des männlich-westlichen Blicks. Erst durch den kuratorischen Eingriff (Gegenüberstellung mit Nestlers Film) wird ihnen retrospektiv eine Stimme gegeben.. ,,"(was zeigt diese Bildausschnitt? AR) Bewertung des Bildausschnitts im Feld Agency:
Direkter Blickkontakt: Könnte zunächst als Zeichen von Selbstbewusstsein und Subjektivität gelesen werden.
Rahmung durch den Maler: Die Frau bleibt jedoch vollständig im Rahmen des männlichen Blicks konstruiert. Sie ist Teil eines exotisierenden, erotisierten Settings, das keine individuelle Geschichte oder Handlung erlaubt.
Körpersprache und Inszenierung: Ihre Darstellung folgt klassischen Mustern des passiven „Objekts der Begierde“, das betrachtet – nicht gehört – wird.
Kein Kontext, keine Stimme: Es gibt keine narrative oder biografische Tiefe, die der Figur agency verleihen würde. Trotz ihres selbstbewussten Gesichtsausdrucks bleibt die Frau in diesem Bildausschnitt eine stumme Projektionsfläche. Ihre vermeintliche Präsenz täuscht über den fehlenden Handlungsspielraum hinweg. Erst durch die kuratorische Kontextualisierung (z. B. durch die Gegenüberstellung mit dem Film „Zigeuner sein“) wird ihr retrospektiv eine Stimme verliehen.",Agent,No agency in the picture itself: The women depicted are objects of the male-Western eye. Only through the curatorial intervention (comparison with Nestler's film) is a voice to be retrospectively given.
Transmediale Beziehungen,"Kuratorischer Umgang: Um diesen Kontext herzustellen, wurde das Bild in einer Ausstellung dem Dokumentarfilm „Zigeuner sein“ (1970) von Peter und Zsóka Nestler gegenübergestellt. Der Film schildert die Lebensrealitäten der Sinti und Roma in Deutschland – ein Versuch, den stereotypen Bildern eine reale Perspektive entgegenzusetzen. Film „Zigeuner sein“ (1970) von Peter und Zsóka Nestler

Nestlers Film basiert auf Kunstwerken von Otto Pankok
Verbindung von Zeichnung, Film, Bildzeugnissen und Zeitzeug*innen-Interviews
Intermediale Korrektur durch dokumentarischen Realitätsbezug",,"(Foto: © Rheinisches Bildarchiv Köln, Weber, Marc, rba_d052844_01)",Transmedial relationships,"Curatorial handling: In order to create this context, the picture was compared in an exhibition to the documentary ""Being Gypsy"" (1970) by Peter and Zsóka Nestler. The film describes the life realities of the Sinti and Roma in Germany - an attempt to oppose the stereotypical pictures a real perspective. Film ""Be Gypsy"" (1970) by Peter and Zsóka Nestler

Nestler's film is based on works of art by Otto Pankok
Connection of drawing, film, picture certificates and contemporary witness interviews
Intermedial correction through documentary reference to reality"
Narrativwandel bei Medienwechsel,"Vom exotisierenden Blick in der Malerei zum kritisch-reflektierten, dokumentarischen Erzählen im Film; Subjektivierung der dargestellten Personen durch Interviews und eigene Perspektiven im Film. Museale Verantwortung: Das Museum Ludwig hat das Bild vier Jahre lang nicht gezeigt, weil es ohne kritische Kontextualisierung nicht ausgestellt werden konnte. Die Darstellung in Muellers Gemälde mag künstlerisch interessant sein – vor allem im Kontext der Brücke und des deutschen Expressionismus –, doch ohne kritische Einbettung verstärkt sie rassistische und sexistische Bilder, die reale gesellschaftliche Folgen haben. Die Arbeit von Julia Friedrich ist ein gelungenes Beispiel für eine reflektierte, verantwortungsvolle kuratorische Praxis, die historische Kunst nicht zensiert, sondern in einen zeitgemäßen und ethisch bewussten Rahmen stellt.                                                                        • Malerei: ästhetisierte, entkontextualisierte Darstellung
• Film: historische Kontextualisierung, Subjektivierung der Roma-Stimmen, Aufarbeitung von Gewalt
• Durch die Installation: Erweiterung des Narrativs um soziale Verantwortung, Erfahrung und Repräsentation",,,Narrative change in media change,"From the exotic look in painting to a critical-reflected, documentary storytelling in the film; Subjectivization of the people shown by interviews and their own perspectives in the film. Museum responsibility: The Ludwig Museum did not show the picture for four years because it could not be exhibited without critical contextualization. The representation in Moller's painting may be artistically interesting - especially in the context of the bridge and German Expressionism -, but without critical embedding, it increases racist and sexist images that have real social consequences. The work of Julia Friedrich is a successful example of a reflected, responsible curatorial practice that does not censor historical art, but puts it in a contemporary and ethically conscious framework.                                                                        • Painting: aesthetic, de -contextualized representation
• Film: historical contextualization, subjectivation of the Roma votes, processing of violence
• By installing: Expansion of the narrative for social responsibility, experience and representation"
Reproduktionsweg,"Öffentliche Sammlung (Museum Ludwig Köln); mehrfach publiziert, digitalisiert, kuratorisch neu kontextualisiert durch Ausstellung und mediale Aufarbeitung                                                                                          •Museum Ludwig Köln, ehemals Teil der regulären Sammlung
•Vier Jahre nicht gezeigt
•2019–2020 Ausstellung mit kritischer Rahmung
•Öffentlich zugängliche Online-Dokumentation, Vermittlungsarbeit durch kuratorische Texte und Medienberichte",,,Reproduction path,"Public collection (Museum Ludwig Cologne); Published several times, digitized, newly contextualized by exhibition and media processing • Museum Ludwig Cologne, formerly part of the regular collection
• Not shown for four years
• 2019–2020 exhibition with a critical framework
• publicly accessible online documentation, mediation work through curatorial texts and media reports"
Sammlung / Archiv / Fundort,"Museum Ludwig, Köln",,,Collection / archive / location,"Museum Ludwig, Cologne"
Provenienz,"• Köln, Museum Ludwig, Inv.-Nr. ML 76/2872, Überweisung Wallraf-Richartz-Museum 1976
Ankauf mit Mitteln aus dem Haubrich-Fonds 1952                                                         •ohne Datum, Maschka Müller, Berlin
• bis 1952, Galerie Wilhelm Großhennig, Düsseldorf (Ankauf 1952)
• 1952-1976, Wallraf-Richartz-Museum & Fondation Corboud, Köln, Inv.-Nr.: WRM 2872 (Ankauf 1952)
Dieses Werk übernahm Maschka Mueller aus dem Nachlass. Als sie verstarb, wurde es 1952 an die Galerie Wilhelm Grosshennig, Düsseldorf, verkauft. 1952 Ankauf WRM, z. T. mit Mitteln aus dem Haubrich-Fonds.",,,Provenance,"• Cologne, Museum Ludwig, Inv.-No. ML 76/2872, transfer Wallraf-Richartz-Museum 1976
Purchasing with funds from the Haubrich Fund 1952 • Without date, Maschka Müller, Berlin
• until 1952, Galerie Wilhelm Großhennig, Düsseldorf (purchase 1952)
• 1952-1976, Wallraf-Richartz-Museum & Fondation Corboud, Cologne, Inv.-No.: WRM 2872 (purchase 1952)
Maschka Mueller took over this work from the estate. When she died, it was sold to the Wilhelm Grosshennig, Düsseldorf Gallery in 1952. 1952 purchase WRM, e.g. T. with funds from the Haubrich Fund."
