Property,text,Unnamed: 2,translated_Property,translated_text
Objekt-ID,from Fazleh,,Object ID,From Fazleh
Titel,"
Pipázó cigány (Pfeife rauchender „Zigeuner“)
",,title,"Pipázó Cigány (pipe smoking ""gypsy"")"
Künstler:in/Autor:in,József Rippl-Rónai (https://d-nb.info/gnd/118601210 ),,Artist: In/Author: In,József Rippl-Rónai (https://d-nb.info/gnd/118601210)
Entstehungsjahr,1910,,Year of origin,1910
Ort der Entstehung/Nutzung,? (Ungarn),,Place of origin/use,? (Hungary)
Feldgattung,Porträtmalerei,,Field genre,Portrait painting
Objekttyp / Medium / Technik,Öl auf Leinwand (Maße, 73 × 92 cm ?),Object type / medium / technology,Oil on canvas (dimensions
Motivcluster,"Porträt eines einzelnen Roma, individuell dargestellt; Darstellung von Roma und Sinti abseits klassischer Stereotypmotive („Zigeunerdarstellungen“); frühe emanzipatorische Bildsprache.",,Motif cluster,"Portrait of a single Roma, individually shown; Representation of Roma and Sinti away from classic stereotype motifs (""gypsy representations""); Early emancipatory visual language."
Narrativtyp,"Persönliche, respektvolle Charakterdarstellung; Fokus auf Individualität und Würde anstelle der exotisierenden Typisierung.",,Narrative type,"Personal, respectful character representation; Focus on individuality and dignity instead of exotic typing."
Historischer Zusammenhang,"Entstehung um 1910 in Südungarn (oder Somogytúr --> Lajos Kunffy), in einem Umfeld wachsender bürgerlicher Einflussnahme auf Kunst und Gesellschaft. Beginn einer neuen, differenzierteren Sicht auf marginalisierte Gruppen durch Künstler der Moderne.",,Historical context,"Development around 1910 in Südungarn (or Somogytúr -> Lajos Kunffy), in an environment of growing bourgeois influence on art and society. The beginning of a new, more differentiated view of marginalized groups by modern artists."
