Property,text,
Objekt-ID,wird von Fazleh vegeben,
Titel,"Roma & Sinti : ""Zigeuner-Darstellungen"" der Moderne  https://d-nb.info/98583935X ",
Künstler:in/Autor:in,Gerhard Baumgartner  ,https://d-nb.info/gnd/129420301
Entstehungsjahr,X,
Ort der Entstehung/Nutzung,Krems an der Donau: Kunsthalle (Österreich),
Feldgattung,Literatur,
Objekttyp / Medium / Technik,Buch/Katalog zur Ausstellung ,
Motivcluster,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",
Narrativtyp,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",
Historischer Zusammenhang,"Entstehung: frühes 20. Jahrhundert, kurz vor dem Ersten Weltkrieg
Ungarn als Teil der Donaumonarchie mit starken ethnischen Spannungen
Zunehmende politische Kontrolle und Militarisierung (z. B. Haarschnitt der Rekruten ab 1914 als Disziplinierungsmaßnahme) Stigmatisierung und Marginalisierung von Roma-Gruppen im gesamten europäischen Raum Beginn einer staatlich regulierten Rassifizierung  Ermittlung der Daten…",
Antiziganistische / Stigmatisierende Elemente,"
Im Katalog „Zigeuner-Darstellungen“ der Moderne wird die mediale Kategorisierung von Roma & Sinti als Teil stereotypisierender Framings dargestellt. Exotisierende, romantisierende und kriminalisierende Bilder werden kritisch analysiert und als Ausdruck fremdbestimmter Repräsentationen gezeigt, die zur gesellschaftlichen Ausgrenzung beigetragen haben.",
Agency,"Im Katalog „Zigeuner-Darstellungen“ der Moderne wird gezeigt, wie Roma und Sinti in den medialen Bildwelten ihrer Agency beraubt werden: Sie erscheinen nicht als selbstbestimmte Akteure, sondern als Projektionsflächen fremder Vorstellungen, die zur gesellschaftlichen Ausgrenzung beitrugen.",
Transmediale Beziehungen,"Im Katalog werden u.A. die Werke von Lajos Kunffy, darunter auch das Ölgemälde Zwei Zigeuner, behandelt. Dadurch entsteht eine transmediale Beziehung zwischen der kunsthistorischen Analyse und der bildlichen Darstellung, die stereotype Framings von Roma und Sinti in verschiedenen Medienformen sichtbar macht.",
Narrativwandel bei Medienwechsel,Ermittlung der Daten…,
Reproduktionsweg,Ermittlung der Daten…,
Sammlung / Archiv / Fundort,Krems an der Donau: Kunsthalle (Österreich),
Provenienz,Ermittlung der Daten…,
Literatur,Ermittlung der Daten…,
Ausstellungen / Aufführungen / Veröffentlichungen,"Gerhard Baumgartner, Ausstellung Roma & Sinti. Zigeuner-Darstellungen der Moderne (2007, Krems an der Donau) und Kunsthalle Krems GND https://d-nb.info/98583935X",
Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",
Rechte / Lizenzen,"Lajos Kunffy- Memorial-Museum, Somogytúr, Ungarn",
Digitalisat-Link/Pfad,X,
Metadaten-Status,X,
Erfasst von,Andre Raatzsch,
Erfassungsdatum,4/28/2025,
Kommentar / Anmerkung,X,
