Property,text,
Objekt-ID,from Fazleh,
Titel,"
Pipázó cigány (Pfeife rauchender „Zigeuner“)
",
Künstler:in/Autor:in,József Rippl-Rónai (https://d-nb.info/gnd/118601210 ),
Entstehungsjahr,1910,
Ort der Entstehung/Nutzung,? (Ungarn),
Feldgattung,Porträtmalerei,
Objekttyp / Medium / Technik,Öl auf Leinwand (Maße, 73 × 92 cm ?)
Motivcluster,"Porträt eines einzelnen Roma, individuell dargestellt; Darstellung von Roma und Sinti abseits klassischer Stereotypmotive („Zigeunerdarstellungen“); frühe emanzipatorische Bildsprache.",
Narrativtyp,"Persönliche, respektvolle Charakterdarstellung; Fokus auf Individualität und Würde anstelle der exotisierenden Typisierung.",
Historischer Zusammenhang,"Entstehung um 1910 in Südungarn (oder Somogytúr --> Lajos Kunffy), in einem Umfeld wachsender bürgerlicher Einflussnahme auf Kunst und Gesellschaft. Beginn einer neuen, differenzierteren Sicht auf marginalisierte Gruppen durch Künstler der Moderne.",
Antiziganistische / Stigmatisierende Elemente,"
Im Gegensatz zu vielen Darstellungen dieser Zeit: keine offensichtlichen antiziganistischen Stereotype. Der dargestellte Mann wird nicht exotisiert oder kriminalisiert, sondern erscheint würdevoll, selbstbewusst und bürgerlich. Titel „Pipázó cigány“ (übersetzt: „Pfeife rauchender Zigeuner“) verwendet die historisch belastete Bezeichnung „Zigeuner“.

Schon durch die Benennung wird eine Fremdzuschreibung vorgenommen: Statt den individuellen Namen des Modells zu nennen, wird seine ethnische Zugehörigkeit betont und stereotyp markiert.

Die Wortwahl verstärkt eine folkloristische Rahmung („Zigeuner“ + Pfeife als romantisierende, exotisierende Attribute).

→ Auch wenn das Bild selbst individuelle Würde zeigt, reproduziert der Titel eine kulturelle Distanz und eine Fremddefinition.",
Agency,"Starke Präsenz und Selbstbehauptung der dargestellten Figur; Haltung und Ausdruck vermitteln individuelle Würde und Agency. Der Mann erscheint als autonomes Subjekt, nicht als Objekt fremder Projektionen. Im Bild selbst:
Der dargestellte Mann wirkt ruhig, präsent und würdevoll. Sein Blick, seine Körperhaltung und die Darstellung vermeiden klassische Stereotypisierungen.

Im Titel:
Die Agency wird teilweise unterlaufen: Durch die fremdzuweisende Bezeichnung „cigány“ wird der Mann auf seine (vermeintliche) ethnische Herkunft reduziert, nicht als individuelles Subjekt benannt.

→ Es entsteht eine Spannung zwischen Bild und Titel:

Das Bild gibt dem Modell Agency,

der Titel reduziert diese durch eine stereotype Fremdmarkierung.",
Transmediale Beziehungen,"Weniger Anbindung an klassische Medienstereotype (wie Literatur oder Fotografie über „Zigeuner“); stattdessen Annäherung an moderne bürgerliche Porträttraditionen. Subtiler Bruch mit der gängigen Ikonografie. Zwischen Rippl-Rónais Pipázó cigány und Kunffys Zwei Zigeuner besteht eine transmediale Beziehung: Beide Werke zeigen vermutlich dieselbe Person, jedoch in unterschiedlichen Narrativen. Während Kunffy stereotypisierende Motive reproduziert, betont Rippl-Rónai Individualität und Würde. Die Darstellung variiert je nach medialem Kontext (Einzelporträt vs. Doppelporträt).",
Narrativwandel bei Medienwechsel,"Rippl-Rónais Werk leitet einen narrativen Wandel ein: Weg vom exotisierenden Narrativ hin zu einer humanisierenden Perspektive, die in der späteren Roma-Kunst und sozialkritischen Fotografie des 20. Jahrhunderts weiterentwickelt wird.",
Reproduktionsweg,Ursprünglich geschaffen als Teil von Rippl-Rónais Beschäftigung mit der ländlichen Bevölkerung in Südungarn, Verbreitung durch Ausstellungen und kunsthistorische Publikationen als Beispiel für eine frühe individuelle Darstellung von Roma ohne Stereotypisierung.
Sammlung / Archiv / Fundort,Privatbesitz,
Provenienz,Ermittlung der Daten…,
Literatur,"Gerhard Baumgartner und Éva Kovács Zur Ikonografie der »Zigeunerbilder« der Moderne. In: Eva Pankok – Romani Rose (Hg.): Otto Pankok Sinti-Porträts 1931 bis 1949. Damm und Lindlar Verlag, Berlin 2008: 38-57. ",
Ausstellungen / Aufführungen / Veröffentlichungen,Ermittlung der Daten,
Beschriftung,"Ermittlung der Daten: Signatur, Vorderseite (links oben): ?
Aufkleber, Rückseite, oben links, auf dem Rahmen: ?",
Rechte / Lizenzen,Ermittlung der Daten,
Digitalisat-Link/Pfad,X,
Metadaten-Status,X,
Erfasst von,Andre Raatzsch,
Erfassungsdatum,4/28/2025,
Kommentar / Anmerkung,X,
