Universities
RWTH Aachen
University of Augsburg
University of Bamberg
University of Bayreuth
Hochschule Bremen
Berlin University of the Arts
Free University of Berlin
Humboldt University of Berlin
Medical School Berlin
Technische Universität Berlin
Bielefeld University
Ruhr University Bochum
University of Bonn
Brandenburg University of Technology
Brandenburg Medical School Theodor Fontane
Braunschweig University of Technology
University of Bremen
Constructor University
Chemnitz University of Technology
Clausthal University of Technology
University of Cologne
Darmstadt University of Technology
TU Dortmund University
Dresden University of Technology
University of Duisburg-Essen
University of Düsseldorf
Catholic University of Eichstätt-Ingolstadt
University of Erfurt
University of Erlangen-Nuremberg
University of Duisburg-Essen
University of Flensburg
Goethe University Frankfurt
Viadrina University (Frankfurt an der Oder)
Freiberg University of Mining and Technology
Fliedner University of Applied Sciences
Zeppelin University (Friedrichshafen)
University of Freiburg
German University of Digital Science
University of Giessen
University of Göttingen
University of Greifswald
University of Hagen (distance learning; open university)
University of Halle-Wittenberg (also in Wittenberg)
University of Hamburg
HafenCity University Hamburg
Hamburg University of Technology
Hamm-Lippstadt University of Applied Sciences
"Helmut Schmidt University (University of the Bundeswehr, Hamburg)"
"Hertie School of Governance (private institution with university status, awards PhD)"
Leibniz University Hannover
Hannover Medical School
University of Heidelberg
University of Hildesheim
University of Hohenheim
Technical University of Ilmenau
University of Jena
Kaiserslautern University of Technology
Karlsruhe Institute of Technology
University of Kassel
University of Kiel
University of Koblenz-Landau
University of Konstanz
"Kühne Logistics University (private institution with university status, awards PhD)"
University of Leipzig
University of Lübeck
Leuphana University of Lüneburg
University of Magdeburg
University of Mainz
University of Mannheim
University of Marburg
Technical University of Munich
Ludwig Maximilian University of Munich
Bundeswehr University Munich
Ukrainian Free University Munich (private university; awards PhD)
University of Münster
University of Erlangen-Nuremberg
University of Technology Nuremberg
Otto-von-Guericke-Universität Magdeburg
University of Oldenburg
University of Osnabrück
University of Paderborn
University of Passau
University of Potsdam
University of Regensburg
University of Rostock
Saarland University
University of Siegen
German University of Administrative Sciences Speyer
University of Stuttgart
University of Trier
University of Tübingen
University of Ulm
University of Halle-Wittenberg (also in Halle)
University of Vechta
University of Weimar
Witten/Herdecke University
University of Wuppertal
University of Würzburg
Tomorrow University
University of Bremen
Constructor University
University of Flensburg
University of Göttingen
University of Greifswald
University of Hamburg
"Helmut Schmidt University (University of the Bundeswehr, Hamburg)"
Leibniz University Hannover
University of Hildesheim
University of Kiel
University of Lübeck
University of Lüneburg
University of Oldenburg
University of Osnabrück
University of Rostock
University of Vechta
Bielefeld University
Ruhr University Bochum
University of Bonn
University of Cologne
TU Dortmund University
University of Duisburg-Essen
University of Düsseldorf
Goethe University Frankfurt
University of Giessen
University of Hagen (distance learning; open university)
University of Kassel
University of Koblenz
University of Mainz
University of Marburg
University of Münster
University of Paderborn
Saarland University
University of Trier
University of Siegen
German University of Administrative Sciences Speyer
Witten/Herdecke University
University of Wuppertal
Frankfurt School of Finance & Management
Berlin University of the Arts
Dresden University of Technology
Free University of Berlin
German UDS Potsdam
Humboldt University of Berlin
Hertie School of Governance
Medical School Berlin
Technische Universität Berlin
Technical University of Ilmenau
University of Erfurt
University of Halle-Wittenberg
University of Jena
University of Leipzig
University of Magdeburg
University of Potsdam
University of Weimar
Viadrina University (Frankfurt an der Oder)
University of Augsburg
University of Bamberg
University of Bayreuth
Catholic University of Eichstätt-Ingolstadt
University of Erlangen-Nuremberg
University of Technology Nuremberg
University of Freiburg
Zeppelin University (Friedrichshafen)
University of Heidelberg
University of Hohenheim
Karlsruhe Institute of Technology
University of Konstanz
University of Mannheim
Bundeswehr University of Munich
University of Munich
Ukrainian Free University Munich
University of Passau
University of Regensburg
University of Stuttgart
University of Tübingen
University of Ulm
University of Würzburg
RWTH Aachen University
Technische Universität Berlin
Brandenburg University of Technology
Braunschweig University of Technology
Chemnitz University of Technology
Clausthal University of Technology
TU Dortmund University
Darmstadt University of Technology
Dresden University of Technology
Freiberg University of Mining and Technology
Hamburg University of Technology
Leibniz University Hannover
Ilmenau University of Technology
Kaiserslautern University of Technology
Karlsruhe Institute of Technology
Technical University of Munich
University of Stuttgart
